reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2022,4.717245169,2023,99.8,91.5,7.1.1,2015,95.56864783
,17.59365535,2024,74.3,58.6,8.5.1,2015,60.08705882
2033,1.544496183,2024,79.7,37.5,17.8.1,2015,68.98015591
,0.8512792995,2024,70.2,58.1,17.18.1,2016,72.17812713
2062,2.227513228,2024,2.4,3.6,10.1.1,2015,3.002857143
2026,1.652047056,2025,3.27,6.2,1.1.1,2015,4.135
,2.083333333,2023,11.9,11.5,4.1.2,2015,11.72666667
,0.7238015608,2023,68.6,67.2,43.0.0,2015,69.09045708
,1.96875,2023,81.8,76.4,45.0.0,2015,79.475
,0,2022,0.4,0.4,42.0.0,2015,
2119,0.997467136,2024,86.3,82.2,61.1.0,2015,86.30889035
,1.253246753,2022,0.894,0.799,47.0.0,2015,0.8745
