reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,,2022,3.9,,2.1.1,,
,-0.6329793754,2021,80,82,3.8.1,2015,84.62567181
,1.423280423,2024,60.9,59.1,8.5.1,2015,60.36666667
2068,3.307112763,2022,87.3,82,6.1.1,2015,83.76584615
2011,,2023,99.8,99.7,7.1.1,2015,99.83
2033,1.272663683,2024,84.5,58.3,17.8.1,2015,80.462225
,0.5308821372,2023,80.6,74.3,17.18.1,2016,84.98215009
2025,1.693342173,2025,2.96,5.3,1.1.1,2015,3.76679937
,0.07991944158,2022,9031.8,8936.4,8.1.1,2015,10194.76588
2162,0.46875,2023,3,3.3,10.1.1,2015,2.7025
