reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2087,0.7896883754,2023,72.4,62.6,7.1.1,2015,74.75152661
2385,0.07497194164,2024,41.4,38.4,17.8.1,2015,69.47894059
,1.542631437,2024,70.2,46.9,17.18.1,2016,62.86110731
,3.694444444,2021,6.7,11.3,10.1.1,2015,9.833333333
2050,1.716316351,2025,16.1,26.3,1.1.1,2015,19.785
,1.590617716,2023,8.3,6.8,4.1.2,2015,7.79025641
,1.0875,2023,61.9,58.3,43.0.0,2015,61.62
,0.4875,2023,71.3,69.5,45.0.0,2015,72.94
,,2024,0.1550161205,,42.0.0,,
2328,0.4472488856,2024,53.6,48.5,6.1.1,2015,59.6571622
,-4.576044456,2024,36.4,47.9,6.1.1,2015,50.58836273
2235,1.643698231,2024,54.4,41.7,6.1.1,2015,49.14428608
,2.457142857,2022,0.376,0.294,47.0.0,2015,0.325
