reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2040,1.958974175,2023,89.8,74.1,7.1.1,2015,83.52838943
,6.669071669,2024,49,36.1,8.5.1,2015,37.99
2065,0.7046713463,2024,32.5,7.5,17.8.1,2015,44.39232855
,,2024,50.50375,,17.18.1,,
,,2024,4.8,,10.1.1,,
2031,1.741067871,2025,4.65,9.3,1.1.1,2015,6.17
,0.8095238095,2025,10,9.5,4.1.2,2015,10.11190476
,0.9813148961,2023,66.8,64.5,43.0.0,2015,66.84035982
,0.875,2023,53.2,50.4,45.0.0,2015,53.6
,,2024,0.2730228669,,42.0.0,,
,-0.4915889425,2024,60.7,65.6,61.1.0,2015,73.95866542
5213,0.1098901099,2024,51.8,50.9,61.3.0,2015,58.84403962
,6.380952381,2022,0.152,0.064,47.0.0,2015,0.075
