reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2011,,2022,2.5,,2.1.1,,
,0.8597845079,2021,81,78,3.8.1,2015,81.43667914
,,2023,98.49433899,,4.1.2,,
,14.65343915,2024,75.4,69.7,8.5.1,2015,70.33
2016,10,2022,99.8,99,6.1.1,2015,99.14
1990,,2023,100,100,7.1.1,2015,
2026,1.53675257,2023,91.2,71.7,17.8.1,2015,86.39821496
,1.957536086,2023,88,66.5,17.18.1,2016,79.693127
1966,,2025,0,,1.1.1,,
,3.245875569,2022,31967.4,23487,8.1.1,2015,25971.19175
2027,1.25,2023,0.6,0.8,10.1.1,2015,0.64
