reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,,2023,3.6,,2.1.1,,
,0.4444444444,2024,45.3,44.5,6.1.1,2015,46.3
2023,,2023,99.6,,7.1.1,,
2027,1.999062714,2024,91,54.2,17.8.1,2015,78.22831689
,0.8760723039,2024,75.2,63.2,17.18.1,2016,76.69963235
2040,0.3629807692,2023,31.4,35,3.2.1,2015,25.98414918
2055,0.65,2023,21.7,24.3,3.2.2,2015,20.3
2013,,2025,0.75,2,1.1.1,2015,1.413333333
,-2.604166667,2023,11.2,11.8,4.1.2,2015,11.96
,1.818190767,2022,8698.2,6801,8.1.1,2015,7792.899019
,1,2024,2.1,3,10.1.1,2015,2
,0.4375,2023,73.7,73,43.0.0,2015,74.6
,1.125,2023,83.3,80.6,45.0.0,2015,83
