reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2017,,2022,2.5,,2.1.1,,
,0,2021,74,74,3.8.1,2015,78.22850469
2024,,2024,102.422468,,4.1.2,,
,-1.050505051,2024,15.5,16.5,8.5.1,2015,17.50727273
,-2.627158447,2022,70.6,77,6.1.1,2015,79.15100806
2013,,2023,100,99.4,7.1.1,2015,99.69
2033,1.517585874,2023,76.9,38.2,17.8.1,2015,67.20187176
,1.198529403,2023,62.7,45.1,17.18.1,2016,59.96790926
1999,,2025,0,,1.1.1,,
,-0.2160799898,2022,4544.4,4684.8,8.1.1,2015,5389.647197
,,2011,3.4,,10.1.1,,
