reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-2.368563333,2022,22.2,14.4,2.1.1,2015,12.08449141
,0.1095793552,2021,35,34,3.8.1,2015,43.43633724
,0.4202497952,2023,55.1,51.4,4.1.2,2015,60.24861589
,-15.59159976,2024,59,72.3,8.5.1,2015,72.75
2250,1.487895011,2022,13.2,9.8,6.1.1,2015,12.04649194
2055,1.902404653,2023,55.4,29,7.1.1,2015,42.47861054
2289,0.1195653927,2021,16.7,13.9,17.8.1,2015,40.74904676
,0.6885266106,2023,60.7,51.3,17.18.1,2016,65.07818595
,-1.41988489,2025,42.81,33.4,1.1.1,2015,27.32984522
,2.274527935,2022,843.6,621.6,8.1.1,2015,709.9410825
,-0.2964426877,2021,9.1,8.7,10.1.1,2015,7.484155844
