reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2047,1.56661293,2023,86.9,73,7.1.1,2015,82.72989076
2165,0.194249617,2024,39.5,31.5,17.8.1,2015,65.46268657
,0.5636066994,2024,37.1,25.1,17.18.1,2016,45.64141626
,,2013,8.7,,10.1.1,,
2241,0.2642128358,2025,23.9,25.6,1.1.1,2015,19.15
,0,2025,9.9,9.9,4.1.2,2015,10.43333333
,0.8516974724,2023,67.2,65.3,43.0.0,2015,67.50045121
,0,2024,0.5,0.5,42.0.0,2015,0.41
,-0.01818181818,2020,63.6,63.7,61.1.0,2015,68.86524193
,-0.09090909091,2020,73.9,74,61.3.0,2015,75.03290043
,2.674206349,2022,0.787,0.616,47.0.0,2015,0.675625
