reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-1.952305372,2022,20.1,14.1,2.1.1,2015,11.84000837
,-0.107875995,2021,49,50,3.8.1,2015,58.60097002
,,2003,67.71383667,,4.1.2,,
,0.2923976608,2024,43.5,43,8.5.1,2015,44.71
2040,1.457743388,2023,94.1,87.3,7.1.1,2015,92.4440926
2040,1.022897816,2023,71.9,45.8,17.8.1,2015,71.46430169
,1.283740318,2023,46.8,23.2,17.18.1,2016,41.52655083
,-0.9563992135,2025,5,3.6,1.1.1,2015,2.543954545
,-0.558732755,2022,6527.4,7047,8.1.1,2015,8070.776989
,,2017,3.3,,10.1.1,,
