reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,4.463698999,2022,4,6.6,2.1.1,2015,5.776573427
,-0.5300324291,2021,68,71,3.8.1,2015,75.81561962
2022,,2024,103.7583095,,4.1.2,,
,-3.595571096,2024,61.3,65.2,8.5.1,2015,66.14545455
2370,0.6135531136,2022,69.1,67.4,6.1.1,2015,70.14333333
2006,,2023,100,100,7.1.1,2015,
2031,1.587607057,2023,81.9,47.6,17.8.1,2015,72.4687375
,,2023,89.2675,,17.18.1,,
2027,3.295689505,2025,3.58,10.6,1.1.1,2015,7.749404683
,2.415692695,2022,5736.6,4086.6,8.1.1,2015,4706.111149
2078,1.38979539,2024,3.8,5.2,10.1.1,2015,4.150815851
