reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2079,1.144199346,2023,51.1,34.9,7.1.1,2015,49.02352941
2068,0.6542988869,2024,33.3,9.2,17.8.1,2015,46.98319696
,0.4093732355,2024,49.9,42.7,17.18.1,2016,59.38228873
,,2018,5.7,,10.1.1,,
2035,2.218626627,2025,7.6,17,1.1.1,2015,11.9
,0.9673659674,2023,8.1,7.2,4.1.2,2015,8.128717949
,0.8125,2023,60.7,57.9,43.0.0,2015,61.3
,1.125,2023,51.4,48.4,45.0.0,2015,51
,2.857142857,2022,0.6,0.8,42.0.0,2015,0.73
2173,0.9835146854,2024,39.9,29.6,6.1.1,2015,40.08397611
,-0.4303340995,2024,28.7,31,6.1.1,2015,35.87660852
,7.75,2022,0.231,0.094,47.0.0,2015,0.108
