reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-0.3779921973,2022,32.2,30,2.1.1,2015,24.87745812
,0,2021,37,37,3.8.1,2015,46.54370828
,,2010,62.64344025,,4.1.2,,
,0.1388888889,2024,56,55.8,8.5.1,2015,57.2375
2564,0.5750672362,2022,23.9,22.2,6.1.1,2015,25.17904762
2065,1.639632168,2023,40.5,20.1,7.1.1,2015,31.80772372
2057,0.8308944746,2023,32.5,6.1,17.8.1,2015,38.8637111
,0.7315526517,2023,45.9,32.3,17.18.1,2016,50.47385453
,-0.03235294118,2025,41.12,40.9,1.1.1,2015,34.29073709
,1.134252379,2022,750.6,645,8.1.1,2015,737.1409205
,,2021,9.1,,10.1.1,,
