reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2893,0.0625,2023,66.9,66.1,7.1.1,2015,77.54054945
2042,1.166413774,2024,63.3,21.3,17.8.1,2015,58.71107271
,,2024,32.1475,,17.18.1,,
,,2022,4.7,,10.1.1,,
,-1.190839735,2025,10.41,6.5,1.1.1,2015,4.175
,0.06578947368,2023,4.3,4.2,4.1.2,2015,5.596546268
,0.96875,2023,63.7,60.6,43.0.0,2015,63.8
,1.052083333,2023,52.1,49.1,45.0.0,2015,51.93333333
,0,2022,0.4,0.4,42.0.0,2015,
,,2017,16.70744849,,6.1.1,,
,-4.2498557,2022,0.585,0.863,47.0.0,2015,0.9436363636
