reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,,2017,89.91768,,6.1.1,,
2054,0.80625,2023,94.4,91.4,7.1.1,2015,94.99
2041,0.93693518,2023,74.1,52.5,17.8.1,2015,75.20994083
,,2024,50.81041667,,17.18.1,,
1988,,2023,18.3,17.5,3.2.1,2015,13.16666667
,,2023,12.4,11.5,3.2.2,2015,8.75
1998,,2025,0.77,1,1.1.1,2015,0.72
,-2.5,2023,12.1,12.3,4.1.2,2015,12.38
,0.5931293855,2022,9406.2,8694,8.1.1,2015,9923.278628
,,2018,2.4,,10.1.1,,
,0.125,2023,75.2,75,43.0.0,2015,76.6
