reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2021,,2022,2.5,,2.1.1,,
,0.2283705131,2021,76,75,3.8.1,2015,79.03149627
2011,,2012,104.3426643,,4.1.2,,
,-0.2923976608,2024,43.8,44.3,8.5.1,2015,46.01
2023,4.280610401,2023,98.9,88,7.1.1,2015,92.88683965
2029,1.948863866,2023,81.7,34,17.8.1,2015,64.75282712
,1.23239799,2023,58.1,38.1,17.18.1,2016,55.02106105
2023,3.392988238,2025,2.6,8.2,1.1.1,2015,5.91303482
,8.682369058,2022,17365.2,5640.6,8.1.1,2015,6477.950412
,,1998,7.7,,10.1.1,,
