reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
1990,,2023,100,100,7.1.1,2015,
,11.82327241,2024,74.2,65.8,8.5.1,2015,66.85666667
2025,1.692341041,2024,93.8,72.8,17.8.1,2015,88.20792305
,0.4902224028,2024,87.9,83.8,17.18.1,2016,90.2
,,2017,1.9,,10.1.1,,
1962,,2025,0.7,1,1.1.1,2015,0.65
,-3.75,2023,12.1,12.4,4.1.2,2015,12.48
,0.9558823529,2023,77,75.7,43.0.0,2015,77.06
,0,2023,85.5,85.5,45.0.0,2015,87.1
,,2024,0.1559593835,,42.0.0,,
2018,,2024,100,,61.1.0,,
2022,,2024,100,,61.2.0,,
2018,,2024,100,,61.3.0,,
,1.566104348,2022,4.742,4.252,47.0.0,2015,4.560655391
