reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2001,,2023,2.5,,2.1.1,,
,5.555555556,2024,96.1,88.3,6.1.1,2015,90.1
1990,,2023,100,,7.1.1,,
2021,1.840855846,2023,96.5,83.5,17.8.1,2015,92.69471306
,0.5438762626,2024,88.3,83.9,17.18.1,2016,90.2
1968,,2023,3.8,3.7,3.2.1,2015,3
1974,,2023,2.5,2.4,3.2.2,2015,1.9
1959,,2025,0.1,,1.1.1,,
,,2025,12.93115902,,4.1.2,,
,9.752077071,2020,80908.8,64311.6,8.1.1,2015,66265.42745
,,2023,0.7,,10.1.1,,
,0.5625,2023,82.4,81.5,43.0.0,2015,82.95
,2.5,2023,92.9,90.9,45.0.0,2015,91.7
