reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,0.25,2023,14.9,15.7,2.1.1,2015,13.025
,0.6666666667,2024,59.8,57.4,6.1.1,2015,61
2012,,2023,100,,7.1.1,,
2028,2.47761107,2023,81.7,15.2,17.8.1,2015,50.66039002
,1.037045708,2024,54,36.8,17.18.1,2016,53.43690523
2020,0.8909722222,2023,22.6,29.4,3.2.1,2015,21.90222222
2025,1.05,2023,12.9,16.7,3.2.2,2015,13.06
1996,,2025,0.56,0.5,1.1.1,2015,0.395
,1.85515873,2023,9.8,8.6,4.1.2,2015,9.295555556
,-0.04322967981,2022,4413,4440,8.1.1,2015,5110.150033
,,2023,2.8,,10.1.1,,
,1.4375,2023,72.3,70,43.0.0,2015,71.6
,0.375,2023,52.5,51.3,45.0.0,2015,54.5
