reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
1990,,2023,100,,7.1.1,,
2035,0.7639237244,2024,88.2,77.4,17.8.1,2015,90.46711072
,1.302664003,2023,87.9,77.4,17.18.1,2016,85.77948718
,,2022,1.2,,10.1.1,,
1964,,2025,0.4,0.5,1.1.1,2015,0.35
,,2025,12.50763321,,4.1.2,,
,0.0625,2023,82.4,82.3,43.0.0,2015,83.25
,-0.3125,2023,87.8,88.3,45.0.0,2015,89.35
,,2024,0.1640522173,,42.0.0,,
2000,,2024,99.99999931,,6.1.1,,
2000,,2024,99.5,99.6,6.1.1,2015,99.69
,0.545157385,2022,7.317,7.091,47.0.0,2015,7.508033898
