reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-5.64491805,2022,17.9,7,2.1.1,2015,6.100659341
,-0.8238288971,2021,65,70,3.8.1,2015,75.00892623
,2.200295941,2023,97.2,94.3,4.1.2,2016,96.09214788
,0.6790123457,2024,15,14.4,8.5.1,2015,15.28888889
2050,5.618971437,2022,85.7,74.8,6.1.1,2015,77.0997148
2008,,2023,100,99.9,7.1.1,2015,99.98
2025,2.474158398,2023,92.5,54.2,17.8.1,2015,76.21124586
,1.606674204,2023,78.1,56.2,17.18.1,2016,70.13831235
1956,,2025,0.2,,1.1.1,,
,-0.2363793717,2022,3909.6,4042.8,8.1.1,2015,4655.989938
,,2010,2.3,,10.1.1,,
