reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,1.25,2023,5.1,6.1,2.1.1,2015,5.3
,2.074074074,2024,73.9,68.5,6.1.1,2015,71.2
2016,,2023,100,,7.1.1,,
2026,2.638812167,2023,88.5,30.2,17.8.1,2015,62.40609744
,-0.1854395604,2024,79.1,81.1,17.18.1,2016,89.44825175
2013,,2023,17,22.2,3.2.1,2015,16.64285714
2018,0.84375,2023,10.8,13.5,3.2.2,2015,10.3
2023,6.949223957,2025,1.05,11,1.1.1,2015,8.060625568
,3.854166667,2023,12,11.2,4.1.2,2015,11.465
,0.6551790221,2022,1212,1105.8,8.1.1,2015,1272.177826
,1.75,2023,4.7,6.1,10.1.1,2015,2.9
,1.5,2023,71.7,69.3,43.0.0,2015,70.9
,-2.104166667,2023,73.9,80,45.0.0,2015,82.4
