reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2001,,2023,2.5,,2.1.1,,
2000,,2024,100,,6.1.1,,
1990,,2023,100,,7.1.1,,
2017,,2023,99.7473,,17.8.1,,
,1.194402673,2024,63.4,45.5,17.18.1,2016,60.6006015
1984,,2023,8.8,9.1,3.2.1,2015,7.1
1987,,2023,4.8,5,3.2.2,2015,4.2
,-6.044642857,2023,9.8,11.8,4.1.2,2015,11.96
,-1.249029359,2022,26580,29882.4,8.1.1,2015,32640.27577
,0.75,2023,80.4,79.2,43.0.0,2015,80.8
,-0.4166666667,2023,40.1,41.1,45.0.0,2015,43.5
