reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2032,1.986862497,2023,96.5,89.7,7.1.1,2015,93.94627159
,4.026206637,2024,64.5,59.1,8.5.1,2015,60.55764706
2039,1.343038458,2024,65.6,18.2,17.8.1,2015,56.1328436
,1.278223896,2024,60.8,41.5,17.18.1,2016,57.05171355
2121,1.253885004,2024,5.1,6,10.1.1,2018,5.267564103
2030,3.106170964,2025,6,18.4,1.1.1,2015,13.07
,0.3333333333,2025,10.1,9.9,4.1.2,2015,10.43333333
,1.185427294,2023,69,66.7,43.0.0,2015,68.67245014
,1.166666667,2023,49.6,46.8,45.0.0,2015,49.2
,-1.111111111,2024,0.6,0.5,42.0.0,2015,0.41
2030,8.878038156,2024,95.9,58.8,61.1.0,2015,68.59742437
2076,5.865693194,2024,35.2,12,61.2.0,2015,15.19447703
2051,7.925463425,2024,87.9,78.2,61.3.0,2015,79.6
,6.398724449,2022,1.778,1.028,47.0.0,2015,1.122307692
