reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2001,,2022,2.5,,2.1.1,,
,0.9980163936,2021,75,70,3.8.1,2015,75.00892623
2016,,2023,105.1905823,,4.1.2,,
,,2024,77.254,,8.5.1,,
2047,3.743506494,2022,95,92.3,6.1.1,2015,93.12833333
1990,,2023,100,100,7.1.1,2015,
2029,1.226326593,2023,88.5,71.4,17.8.1,2015,86.22925451
,1.337849922,2022,88.6,78.6,17.18.1,2016,86.59671352
2005,,2025,1.1,1,1.1.1,2015,0.72
,2.383746837,2022,18884.4,14269.8,8.1.1,2015,16094.12031
2073,0.8125,2023,1.6,1.9,10.1.1,2015,1.54
