reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-1.361756957,2022,39.7,30.8,2.1.1,2015,25.54038784
,0.6841311084,2021,35,29,3.8.1,2015,37.94504845
,-0.7719996782,2023,58.3,65.2,4.1.2,2015,74.15142857
1990,,2024,84.141,,8.5.1,,
2206,1.71999249,2022,22.2,17.4,6.1.1,2015,20.14035088
2080,1.218724911,2023,39.4,23.8,7.1.1,2015,36.37616036
2075,0.6017937968,2023,20.4,4.2,17.8.1,2015,35.09641047
,0.8017767488,2023,53.4,39.6,17.18.1,2016,56.08878834
2389,0.3655257937,2025,66.08,68.4,1.1.1,2015,61.91359515
,,2024,453.383067,,8.1.1,,
,,2021,14.4,,10.1.1,,
