reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2021,6.482185734,2023,100,92.1,7.1.1,2015,95.92484131
2039,1.324643004,2024,65.9,19.3,17.8.1,2015,57.05772707
,1.358304516,2024,43.5,16.6,17.18.1,2016,36.87382518
,,2019,3.3,,10.1.1,,
2018,3.474770556,2025,1,4.3,1.1.1,2015,2.765
,7.916666667,2023,12.4,11.3,4.1.2,2015,11.54
,0.7074667032,2023,66.9,65.3,43.0.0,2015,67.50045121
,1.428571429,2022,0.6,0.7,42.0.0,2015,0.63
,-0.08588905648,2024,82.2,82.6,61.1.0,2015,86.61009528
,2.434157245,2022,1.949,1.592,47.0.0,2015,1.730726316
