reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-0.6746031746,2022,5.3,4.9,2.1.1,2015,4.412142857
,-0.1120845678,2021,52,53,3.8.1,2015,61.13216572
2018,,2018,105.3568115,,4.1.2,,
,-5.847762107,2024,45.2,54.7,8.5.1,2015,56.15176471
2130,2.238199859,2022,57.4,50,6.1.1,2015,53.35458333
2057,1.352326558,2023,76.8,60.5,7.1.1,2015,73.02574175
2039,1.416960158,2023,58.5,10.9,17.8.1,2015,45.92351747
,1.6998924,2023,68.6,43.4,17.18.1,2016,58.74948924
2093,0.7310305706,2025,15,18.2,1.1.1,2015,13.92044605
,0.04755983504,2022,1174.8,1167,8.1.1,2015,1343.153323
,,2017,5.7,,10.1.1,,
