reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2015,,2023,100,99.5,7.1.1,2015,99.80333333
,6.3350162,2024,65.4,56.7,8.5.1,2015,58.27444444
2030,1.279965454,2024,88.9,68.1,17.8.1,2015,85.75338658
,1.222506236,2024,73.9,57.3,17.18.1,2016,71.22139469
,0,2021,2.8,2.8,10.1.1,2015,2.483333333
2019,1.701501415,2025,1.8,3.7,1.1.1,2015,2.375
,,2025,12.80273914,,4.1.2,,
,0.3676470588,2023,77.1,76.6,43.0.0,2015,77.96
,0.5833333333,2023,83.4,82,45.0.0,2015,84.33333333
,,2024,0.1794384966,,42.0.0,,
2026,5.2336429,2024,98.6,94.9,61.1.0,2015,96.01234432
2057,2.322584823,2024,94.8,92.2,61.2.0,2015,93.42
2570,0.4273504274,2024,85.5,85,61.3.0,2015,86.14153846
,-1.13362445,2022,5.013,5.405,47.0.0,2015,5.766557692
