reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,1.056443556,2022,5.9,6.8,2.1.1,2015,5.943461538
,-0.1590470118,2021,66,67,3.8.1,2015,72.58436371
,-1.967953026,2023,90.2,96.1,4.1.2,2015,97.16753298
,-0.8061002179,2024,51,52.3,8.5.1,2015,53.83
1990,,2023,100,99.6,7.1.1,2015,99.79333333
2033,1.342474735,2023,79.5,50.1,17.8.1,2015,73.8729451
,0.3672919036,2023,78.3,73.7,17.18.1,2016,84.60393245
1998,,2025,0.35,0.7,1.1.1,2015,0.5
,0.7969067036,2022,10552.2,9507.6,8.1.1,2015,10833.33732
,,2017,2.4,,10.1.1,,
