reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2167,0.6007575758,2023,15.6,10.8,7.1.1,2015,19.37181818
2100,0.4217784065,2024,19,6,17.8.1,2015,42.27866299
,0.585745614,2024,64.3,55.5,17.18.1,2016,69.83578947
,,2019,16.7,,10.1.1,,
,-1.012125482,2025,76.61,71,1.1.1,2015,64.445
,0.3125,2023,9.5,9.3,4.1.2,2015,9.885
,1.96875,2023,67.4,62.3,43.0.0,2015,65.075
,0.1875,2023,77.9,77.3,45.0.0,2015,80.15
,-1.428571429,2022,0.5,0.4,42.0.0,2015,
2233,0.8039967878,2024,18.2,13.6,6.1.1,2015,19.50511399
2182,1.777220296,2024,42.7,38.2,6.1.1,2015,40.80436782
2177,2.123492285,2024,69.2,57.6,6.1.1,2015,64.26369159
,-2.5,2022,0.088,0.123,47.0.0,2015,0.137
