reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2116,0.6213235294,2023,61.2,52.5,7.1.1,2015,66.18235294
2083,0.4591374366,2024,41.2,22.5,17.8.1,2015,59.60409597
,0.8425164474,2024,69.1,57.1,17.18.1,2016,71.11578947
,-0.7857142857,2022,9.8,8.7,10.1.1,2015,7.3
,-2.619977939,2025,50.92,31.8,1.1.1,2015,24.745
,0.5902777778,2023,9.3,8.9,4.1.2,2015,9.554444444
,0.65,2023,54.5,51.9,43.0.0,2015,55.9
,-0.53125,2023,71,72.7,45.0.0,2015,75.9
,,2024,0.2166561924,,42.0.0,,
2165,1.053338217,2024,37.1,26.6,6.1.1,2015,36.52229436
2341,0.9983331075,2024,31,26.8,6.1.1,2015,31.00645087
3240,0.2751192344,2024,64.4,62.8,6.1.1,2015,67.81695348
,-3.321428571,2022,0.159,0.229,47.0.0,2015,0.257
