reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-0.03571428571,2022,17.3,17.2,2.1.1,2015,14.45
2072,0.7300099206,2023,88.3,83.2,7.1.1,2015,89.81194444
2043,1.123097631,2023,58.2,19.7,17.8.1,2015,54.82918089
,0.4981725146,2024,55.8,48.2,17.18.1,2016,63.02631579
2009,,2023,13.4,18.6,3.2.1,2015,14.02380952
2012,,2023,8.4,10.9,3.2.2,2015,8.3
2054,0.5335208118,2025,5.1,6.1,1.1.1,2015,4.351494453
,-2.479166667,2023,10.6,11.4,4.1.2,2015,11.64
,0.3340263114,2022,2175.6,2074.2,8.1.1,2015,2392.920157
,,2014,4.2,,10.1.1,,
,1.25,2023,74.9,72.9,43.0.0,2015,74.5
,-5.5625,2023,58.7,76.5,45.0.0,2015,79.3
