reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2037,1.107142505,2023,95.6,91,7.1.1,2015,95.26132899
,0.2505446623,2024,25.5,25.1,8.5.1,2015,26.71411765
2042,1.256899675,2024,57.3,11,17.8.1,2015,48.95794843
,0.7809577745,2024,68.1,56.9,17.18.1,2016,70.90117356
,-0.4351851852,2024,7.2,6.6,10.1.1,2015,5.432087912
,-0.7794454044,2025,22.8,18.2,1.1.1,2015,12.91
,1.194444444,2023,9.1,8.2,4.1.2,2015,8.96
,0.9247743955,2023,67.6,65.6,43.0.0,2015,67.75045121
,-1.28125,2023,56.4,60.5,45.0.0,2015,63.725
,0,2022,0.4,0.4,42.0.0,2015,
,-0.8834141655,2024,68.8,75.6,61.1.0,2015,81.39424273
2819,0.3418803419,2024,45,44.2,61.2.0,2015,46.58
2259,1.095238095,2024,82.3,80.9,61.3.0,2015,82.18
,0.7142857143,2022,0.525,0.49,47.0.0,2015,0.539
