reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2013,,2023,100,,7.1.1,,
,,2024,83.92549896,,17.8.1,,
,,2024,60.95416667,,17.18.1,,
,8.098214286,2023,12.1,9.7,4.1.2,2015,10.22285714
,0.125,2023,69.3,69.1,43.0.0,2015,70.7
,-2.857142857,2022,1,0.7,42.0.0,2015,0.63
2055,2.63771658,2024,90.8,81.8,6.1.1,2015,86.00862914
2058,1.185185185,2024,97.6,97,6.1.1,2015,97.51666667
2000,,2024,99.5,99.5,6.1.1,2015,99.59
,1.181672973,2022,5.18,4.783,47.0.0,2015,5.11768617
