reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
1990,,2023,100,100,7.1.1,2015,
,6.991193991,2024,69.6,62.2,8.5.1,2015,63.48666667
2030,1.25472252,2024,88.6,68,17.8.1,2015,85.70012987
,,2024,91.10625,,17.18.1,,
2035,2.916666667,2023,0.9,1.4,10.1.1,2015,1.206666667
2004,,2025,0.24,0.5,1.1.1,2015,0.36
,,2025,12.90911579,,4.1.2,,
,0.7352941176,2023,78.6,77.6,43.0.0,2015,78.96
,-7.875,2023,85.2,93.3,45.0.0,2015,93.4
,,2024,0.1976827175,,42.0.0,,
,-1.313518007,2024,88.7,91.9,61.1.0,2015,93.69137389
,-3.784730792,2024,90.1,94.8,61.2.0,2015,95.66
,1.244292062,2022,4.27,3.906,47.0.0,2015,4.196468089
