reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2001,,2022,2.5,,2.1.1,,
,,2021,88,,3.8.1,,
2019,,2023,104.5166473,,4.1.2,,
,15.36772487,2024,75.7,70.3,8.5.1,2015,70.91142857
2112,1.011904762,2022,95.2,94.6,6.1.1,2015,95.19333333
1990,,2023,100,100,7.1.1,2015,
2030,1.215369681,2024,88.5,68.6,17.8.1,2015,86.0554545
,,2023,93.77833333,,17.18.1,,
1971,,2025,0.4,0.7,1.1.1,2015,0.5
,1.259551209,2022,22042.8,19215.6,8.1.1,2015,21441.17154
2046,1.145833333,2023,1.1,1.4,10.1.1,2015,1.135
