reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,,2023,5.2,,2.1.1,,
,1.055555556,2024,64.4,60.6,6.1.1,2015,64.2
2017,,2023,99.8,,7.1.1,,
2033,1.333759078,2024,81.6,49.7,17.8.1,2015,75.81210307
,1.497508707,2024,74.2,53,17.18.1,2016,67.52631579
2012,,2023,17,22.2,3.2.1,2015,16.64285714
2015,,2023,9.1,11.8,3.2.2,2015,8.975
2023,2.916675506,2025,2.01,5.5,1.1.1,2015,3.911243814
,-3.5625,2023,10.5,11.6,4.1.2,2015,11.79333333
,0.4049794269,2022,6218.4,5879.4,8.1.1,2015,6749.119881
,0.5555555556,2024,2.5,3,10.1.1,2015,2
,0.1875,2023,73.8,73.5,43.0.0,2015,75.1
,0.34375,2023,71.5,70.4,45.0.0,2015,73.6
