reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2008,,2023,100,,7.1.1,,
2029,1.686356842,2023,86.6,56.7,17.8.1,2015,77.59199449
,1.349874687,2024,74.4,58.5,17.18.1,2017,70.69473684
,-0.1428571429,2023,2.9,2.8,10.1.1,2016,2.6
,,2025,4.63,1.3,1.1.1,2015,0.83
,0.7291666667,2023,11.4,11.2,4.1.2,2015,11.465
,-5.25,2023,65.2,74.6,43.0.0,2015,76.2
,-1.625,2023,44.5,48.4,45.0.0,2015,51
2073,1.354500662,2024,93.8,91.3,6.1.1,2015,93.2277908
3708,0.09259259259,2024,80.6,80.4,6.1.1,2015,82.56
3030,0.202020202,2024,89,88.8,6.1.1,2015,89.74545455
,1.983008993,2022,1.552,1.311,47.0.0,2015,1.42775
