reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
1990,,2023,100,,7.1.1,,
2016,1.392857143,2024,98.1,92.9,17.8.1,2015,97.23928571
,1.497887118,2024,68.1,44.8,17.18.1,2016,61.1429255
2017,,2017,0.5,,10.1.1,,
1950,,2025,0,,1.1.1,,
,-5.416666667,2023,11.6,12.3,4.1.2,2015,12.38
,0.375,2023,82.4,81.8,43.0.0,2015,83
,-1.291666667,2023,27.8,30.9,45.0.0,2015,33.3
,-1.428571429,2022,0.5,0.4,42.0.0,2015,
2016,,2024,99.98897214,,6.1.1,,
,-1.593915344,2024,95.3,96.5,6.1.1,2015,97.09714286
2000,,2024,99.98897214,,6.1.1,,
,,2023,17.75647666,,47.0.0,,
