reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2055,1.43891718,2023,66,48,7.1.1,2015,60.26921173
,-9.742179389,2022,14.6,23.8,8.5.1,2015,24.99
,,2017,18.60000038,,17.8.1,,
,0.2107303921,2024,42.1,38.2,17.18.1,2016,55.53632557
,,2014,5.5,,10.1.1,,
,-7.584182355,2025,58.93,10.3,1.1.1,2015,6.88
,-0.09615384615,2023,7,7.1,4.1.2,2015,8.044102564
,0.7905493538,2023,66.3,64.4,43.0.0,2015,66.75598482
,-5.395833333,2023,27.3,40.2,45.0.0,2015,42.6
,-1.428571429,2022,0.8,0.7,42.0.0,2015,0.63
2310,0.5082801608,2024,41.4,35.8,61.1.0,2015,47.01950539
2247,1.533740511,2024,59.3,47.1,61.3.0,2015,55.20654504
,0.3714285714,2022,0.342,0.329,47.0.0,2015,0.364
