reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2039,2.239353928,2023,81.3,55.1,7.1.1,2015,68.04093751
1990,,2025,84.253,,8.5.1,,
2080,0.529958779,2024,29,10,17.8.1,2015,47.74675129
,0.9919500614,2024,51,33,17.18.1,2016,51.13395098
,,2012,9.7,,10.1.1,,
,-0.8356164384,2025,48.1,42,1.1.1,2015,34.4
,-1.833333333,2023,10.3,11,4.1.2,2015,11.315
,0.7321428571,2023,70.5,69.3,43.0.0,2015,70.91214286
,7.1375,2023,65.4,44.2,45.0.0,2015,46.6
,,2024,0.3210953766,,42.0.0,,
,-0.02688172043,2024,55,55.3,61.1.0,2015,65.67711177
,-0.1017871018,2024,39.3,39.9,61.3.0,2015,46.85884452
,-0.07142857143,2022,0.145,0.146,47.0.0,2015,0.1665
