reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-0.7890461892,2022,28.4,24.5,2.1.1,2015,20.33959574
,0.6366355157,2021,41,35,3.8.1,2015,44.48829905
,,2024,99.20196645,,4.1.2,,
,-2.753267974,2024,52.6,56.7,8.5.1,2015,58.08125
2413,0.8894009217,2022,10.3,8.4,6.1.1,2015,10.54774194
2077,1.317170542,2023,35.5,19.7,7.1.1,2015,31.30206655
2086,0.4976599416,2023,20.6,6.3,17.8.1,2015,39.21344376
,1.106867935,2023,61.8,45.6,17.18.1,2016,60.33501201
2830,0.1357142857,2025,49.95,50.9,1.1.1,2015,43.933
,0.7927518819,2022,1077,964.8,8.1.1,2015,1108.58243
,,2018,9.1,,10.1.1,,
