reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2006,,2023,2.5,,2.1.1,,
,0.1111111111,2024,75,74.8,6.1.1,2015,76.6
1990,,2023,100,,7.1.1,,
2031,1.270905064,2024,87.7,65.3,17.8.1,2015,84.33811131
,0.9427638844,2024,80.5,68.8,17.18.1,2016,81.0952556
1992,,2023,5.2,6.3,3.2.1,2015,5.05
1996,,2023,3.2,4,3.2.2,2015,3.2
2019,4.471946317,2025,1.83,8.4,1.1.1,2015,6.064601772
,,2025,12.46308231,,4.1.2,,
,2.189475577,2022,7857.6,5820.6,8.1.1,2015,6682.376688
,5.285714286,2022,2.4,6.1,10.1.1,2015,5.75
,0.6875,2023,76.8,75.7,43.0.0,2015,77.3
,2.4375,2023,88.7,84.8,45.0.0,2015,86.4
