reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2022,4.260001199,2023,99.6,95,7.1.1,2015,97.14847506
,1.029100529,2024,50.8,48.9,8.5.1,2015,50.74761905
2027,2.21662929,2023,87.4,42.8,17.8.1,2015,69.42725191
,1.371327576,2024,58.6,36.5,17.18.1,2016,53.92944965
,,2022,2.5,,10.1.1,,
1967,,2025,2.14,1.1,1.1.1,2015,0.72
,-1.154761905,2025,9,9.8,4.1.2,2015,10.35
,2.09494324,2023,73.6,70.6,43.0.0,2015,72.08210526
,1.958333333,2023,86.8,83.4,45.0.0,2015,85.26666667
,-1.111111111,2024,0.4,0.3,42.0.0,2015,
2049,2.027524763,2024,96,93.4,61.1.0,2015,94.84960784
2791,0.3098290598,2024,55.8,54.7,61.2.0,2015,58.35957786
2187,1.560846561,2024,82.7,80.7,61.3.0,2015,81.99333333
,-0.6147576148,2022,3.306,3.462,47.0.0,2015,3.727412518
