reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2001,,2023,2.5,,2.1.1,,
2000,,2024,99.76079667,,6.1.1,,
1990,,2023,100,,7.1.1,,
2022,0.7630511464,2024,95.5,90.6,17.8.1,2015,96.45301587
,,2024,92.66125,,17.18.1,,
1960,,2023,2.5,,3.2.1,,
1963,,2023,1.4,,3.2.2,,
1950,,2025,0.8,0.7,1.1.1,2015,0.5
,,2025,12.92791557,,4.1.2,,
,1.22313026,2022,54878.4,51198,8.1.1,2015,54210.68853
,,2023,1.1,,10.1.1,,
,1,2023,83.3,82.2,43.0.0,2015,83.3
,,2023,93.3,,45.0.0,,
