reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,2.52861414,2022,12.8,20.2,2.1.1,2015,16.81118919
,0.4170597484,2021,44,40,3.8.1,2015,49.51889697
,-1.348383147,2023,87.3,93,4.1.2,2016,95.35441736
,0.4212962963,2024,57.3,56.7,8.5.1,2015,58.08125
2322,1.075966944,2022,19.4,16.5,6.1.1,2015,19.18761024
2080,1.018980724,2023,59.2,44.7,7.1.1,2015,58.93846957
2054,0.9043642641,2023,37,7.1,17.8.1,2015,40.54983187
,1.172716677,2023,66.1,49.7,17.18.1,2016,63.61801143
2101,1.068683222,2025,30.87,37.7,1.1.1,2015,31.29173762
,1.019076714,2022,862.8,751.2,8.1.1,2015,860.5507034
2048,4.028694432,2021,8.6,16,10.1.1,2015,13.67596527
