reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2009,,2023,100,99.6,7.1.1,2015,99.84333333
,1.358024691,2024,69.2,68,8.5.1,2015,68.9
2026,2.418976576,2024,90.9,39.3,17.8.1,2015,69.98662472
,0.7200522497,2024,85,77.7,17.18.1,2016,87.2765623
2162,0.5555555556,2024,2,2.2,10.1.1,2015,1.84
2004,,2025,0.0088,,1.1.1,,
,,2025,12.59457302,,4.1.2,,
,-0.1470588235,2023,76.4,76.6,43.0.0,2015,77.96
,0.325,2023,68.7,67.4,45.0.0,2015,71.26
,,2024,0.2939475148,,42.0.0,,
2019,,2024,100,,61.1.0,,
2018,11.66666667,2024,99.7,98.4,61.3.0,2015,98.58
,2.455244642,2022,3.187,2.637,47.0.0,2015,2.850750538
