reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2000,,2023,100,,7.1.1,,
,,2016,17.99029922,,17.8.1,,
,0.5134615385,2024,29.7,19.2,17.18.1,2016,39.13047436
,,1998,8.8,,10.1.1,,
2023,1.68865197,2025,2.4,5,1.1.1,2015,3.175
,0,2023,11.6,11.6,4.1.2,2015,11.79333333
,0.625,2023,70.1,69.1,43.0.0,2015,70.7
,2.125,2023,42.5,37.4,45.0.0,2015,39.8
,2.857142857,2022,0.8,1.2,42.0.0,2015,1.06
2020,15.21186187,2024,99.9,92.5,6.1.1,2015,94.15326945
2044,3.830482426,2024,94.9,90.2,6.1.1,2015,91.66433824
2020,14.62962963,2024,99.6,97.5,6.1.1,2015,97.77
,0.3899769585,2022,2.923,2.836,47.0.0,2015,3.062821573
