reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-1.496957397,2022,15.9,12.2,2.1.1,2015,10.29872275
,0.5401294995,2021,52,47,3.8.1,2015,55.99584719
,,2023,93.21047204,,4.1.2,,
,-0.5067155067,2024,60.9,61.5,8.5.1,2015,62.67
2021,11.66859257,2023,100,67.3,7.1.1,2015,78.45330178
2090,0.4220286751,2023,34,18.6,17.8.1,2015,53.91905516
,1.104561005,2023,62.1,48.8,17.18.1,2017,60.86398928
,-0.1014492754,2025,44.2,43.5,1.1.1,2015,36.75710177
,1.267475311,2022,1578.6,1319.4,8.1.1,2015,1519.807349
,,2014,9.4,,10.1.1,,
