reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2020,,2023,100,,7.1.1,,
2046,0.9027593358,2024,67.4,38.7,17.8.1,2015,69.64560725
,,2024,63.20333333,,17.18.1,,
,2.5,2021,2.8,4.3,10.1.1,2015,3.7
1979,,2025,0.3,0.4,1.1.1,2015,0.3
,3.229166667,2023,11.8,11,4.1.2,2015,11.315
,0.625,2023,72.9,71.9,43.0.0,2015,73.5
,0,2022,0.4,0.4,42.0.0,2015,
2031,1.814814815,2024,98.6,97.8,6.1.1,2015,98.28333333
15248,0.02415458937,2024,29.6,29.5,6.1.1,2015,33.33413653
2393,0.4938271605,2024,91.1,90.7,6.1.1,2015,91.51
,3.660714286,2022,0.715,0.509,47.0.0,2015,0.558
