reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,,2023,98.7,,7.1.1,,
2039,0.8644182371,2024,82.2,65.1,17.8.1,2015,84.13513321
,1.207686955,2024,59.4,38.9,17.18.1,2016,56.19806136
,,1992,3,,10.1.1,,
1994,,2025,0,,1.1.1,,
,-3.395833333,2023,10,11.3,4.1.2,2015,11.54
,0.375,2023,73.5,72.9,43.0.0,2015,74.5
,-2.4375,2023,85.7,89.2,45.0.0,2015,90
,0,2022,1.2,1.2,42.0.0,2015,1.06
2026,3.865079365,2024,98.8,96.9,6.1.1,2015,97.58
4504,0.05291005291,2024,86.3,86.2,6.1.1,2015,88.04761905
12822,0.03003003003,2024,69.4,69.3,6.1.1,2015,72.13698207
,-0.9461588676,2022,6.087,6.453,47.0.0,2015,6.851946115
