reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2048,2.564409049,2023,51.5,18.5,7.1.1,2015,29.77098901
2299,0.1266372279,2024,8.9,5.7,17.8.1,2015,41.76158717
,0.3532986111,2024,68.7,63.9,17.18.1,2016,76.46888889
,,2019,13.1,,10.1.1,,
2221,0.5064542812,2025,54.8,58.4,1.1.1,2015,50.85
,-0.8854166667,2023,8.8,9.4,4.1.2,2015,9.9725
,1.895833333,2023,68.3,63.8,43.0.0,2015,66.2
,-2.85,2023,67.8,77.5,45.0.0,2015,80.3
,1.428571429,2022,0.4,0.5,42.0.0,2015,0.43
2145,1.377934302,2024,19.7,11.9,6.1.1,2015,17.23419612
3319,0.2260536398,2024,39.3,38.7,6.1.1,2015,41.26135468
2278,1.304229147,2024,66.1,58,6.1.1,2015,64.55301546
,1.428571429,2022,0.106,0.086,47.0.0,2015,0.1
