reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,,2022,5.8,,2.1.1,,
,1.402774491,2021,76,69,3.8.1,2015,74.20228152
,0.1673863871,2021,89.3,88.6,4.1.2,2015,92.20949755
,-1.698717949,2021,61.7,63,8.5.1,2015,63.72
,-0.9314954052,2022,87.6,88.8,6.1.1,2015,89.97228758
1990,,2023,100,100,7.1.1,2015,
2031,1.585419196,2023,82.4,48.9,17.8.1,2015,73.19730798
,0.8281221199,2023,78.7,67.7,17.18.1,2016,80.57918779
2004,,2025,0.1,,1.1.1,,
,-0.7780496869,2022,1874.4,2094.6,8.1.1,2015,2416.476181
2053,1.619047619,2020,2.2,2.7,10.1.1,2015,2.385714286
