reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2005,,2023,2.5,,2.1.1,,
2009,,2023,100,,7.1.1,,
2026,1.760411237,2024,92,64.6,17.8.1,2015,83.96065206
,1.136736986,2024,80.1,65.5,17.18.1,2016,78.56854575
1989,,2023,6.7,8.9,3.2.1,2015,6.966666667
1989,,2023,4.1,5,3.2.2,2015,4.2
1994,,2025,0.1685,,1.1.1,,
,,2025,12.55542564,,4.1.2,,
,0.5421494822,2022,18228.6,17125.8,8.1.1,2015,19196.05058
,,2024,1.4,,10.1.1,,
,0.5,2023,78.1,77.3,43.0.0,2015,78.9
,-1.8125,2023,88.7,90.5,45.0.0,2015,91.3
