reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,,2023,3.6,,2.1.1,,
,0.3333333333,2024,62.5,61.3,6.1.1,2015,64.9
2023,,2023,100,,7.1.1,,
2046,0.9572923245,2023,58.1,25.4,17.8.1,2015,59.21149831
,0.658625731,2024,62.8,53.2,17.18.1,2016,67.71578947
2010,,2023,15.7,18.5,3.2.1,2015,13.95238095
1993,,2023,6.2,7.4,3.2.2,2015,5.8
2024,1.205782828,2025,2.3,3.5,1.1.1,2015,2.468954545
,0.4166666667,2023,11.7,11.6,4.1.2,2015,11.79333333
,-0.6767413039,2022,3710.4,4084.2,8.1.1,2015,4703.365136
,,2013,3.9,,10.1.1,,
,0.375,2023,71.7,71.1,43.0.0,2015,72.7
