reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2067,1.432802288,2023,51.1,31.1,7.1.1,2015,44.86764706
2149,0.2598552808,2024,17.1,8.8,17.8.1,2015,46.4541647
,0.5350511696,2024,64.2,56.2,17.18.1,2016,70.39578947
,0,2022,22.9,22.9,10.1.1,2015,17.96529582
,-0.3778089194,2025,70.21,67.9,1.1.1,2015,61.015
,-0.5357142857,2023,9.6,9.9,4.1.2,2015,10.39428571
,2.010416667,2023,66.3,60.7,43.0.0,2015,63.875
,3.083333333,2023,79.6,69.7,45.0.0,2015,73.1
,0,2022,0.6,0.6,42.0.0,2015,0.53
2271,0.6158368386,2024,33.4,27.4,6.1.1,2015,37.4859972
2504,0.7414858817,2024,46.6,41.3,6.1.1,2015,48.64659843
,-0.04285714286,2022,0.793,0.796,47.0.0,2015,0.8712
