iso3c,year,value
AFG,2015,0
AFG,2016,0
AFG,2017,0
AFG,2018,0.21
AFG,2019,0.18
AFG,2020,0
AFG,2021,0.73
AFG,2022,2.18
AFG,2023,0.47
AFG,2024,0.18
AGO,2015,0.33
AGO,2016,0.43
AGO,2017,0.11
AGO,2018,0.94
AGO,2019,2.01
AGO,2020,1.87
AGO,2021,2.89
AGO,2022,6.07
AGO,2023,2.04
AGO,2024,1.48
ALB,2015,0.96
ALB,2016,0.99
ALB,2017,0.82
ALB,2018,0.54
ALB,2019,0.54
ALB,2020,0.55
ALB,2021,0.5
ALB,2022,0.49
ALB,2023,0.49
ALB,2024,0.48
ARE,2015,0.08
ARE,2016,0.03
ARE,2017,0.04
ARE,2018,0
ARE,2019,0
ARE,2020,0
ARE,2021,0
ARE,2022,0
ARE,2023,0
ARE,2024,0
ARG,2015,4.18
ARG,2016,0.79
ARG,2017,0.09
ARG,2018,0.75
ARG,2019,0.87
ARG,2020,1.24
ARG,2021,1.53
ARG,2022,1.96
ARG,2023,1.29
ARG,2024,1.26
ARM,2015,0
ARM,2016,0
ARM,2017,0
ARM,2018,0.01
ARM,2019,0.03
ARM,2020,0
ARM,2021,0.04
ARM,2022,0.08
ARM,2023,0.04
ARM,2024,0.02
AUS,2015,0.02
AUS,2016,0.03
AUS,2017,0
AUS,2018,0
AUS,2019,0
AUS,2020,0
AUS,2021,0.26
AUS,2022,0.34
AUS,2023,0.08
AUS,2024,0.03
AUT,2015,0
AUT,2016,0
AUT,2017,0
AUT,2018,0
AUT,2019,0
AUT,2020,0
AUT,2021,0.01
AUT,2022,0.28
AUT,2023,0.11
AUT,2024,0.03
AZE,2015,2.83
AZE,2016,2.66
AZE,2017,3.12
AZE,2018,4.02
AZE,2019,3.68
AZE,2020,2.4
AZE,2021,1.58
AZE,2022,4.1
AZE,2023,4.16
AZE,2024,4.19
BDI,2015,6.37
BDI,2016,7.69
BDI,2017,3.88
BDI,2018,1.51
BDI,2019,1.48
BDI,2020,1.61
BDI,2021,1.51
BDI,2022,1.47
BDI,2023,1.48
BDI,2024,1.47
BEL,2015,0.02
BEL,2016,0
BEL,2017,0
BEL,2018,0
BEL,2019,0
BEL,2020,0
BEL,2021,0.15
BEL,2022,0.67
BEL,2023,0.6
BEL,2024,0.46
BEN,2015,0.44
BEN,2016,0.4
BEN,2017,0.42
BEN,2018,0.56
BEN,2019,0.44
BEN,2020,0.38
BEN,2021,0.38
BEN,2022,0.88
BEN,2023,0.37
BEN,2024,0.36
BFA,2015,0.64
BFA,2016,0.98
BFA,2017,0.93
BFA,2018,0.97
BFA,2019,1.38
BFA,2020,1.39
BFA,2021,1.3
BFA,2022,1.74
BFA,2023,1.3
BFA,2024,1.3
BGD,2015,2.02
BGD,2016,1.54
BGD,2017,1.47
BGD,2018,1.73
BGD,2019,1.26
BGD,2020,1.1
BGD,2021,2.25
BGD,2022,3.49
BGD,2023,1.65
BGD,2024,1.36
BGR,2015,2.32
BGR,2016,1.47
BGR,2017,2.24
BGR,2018,2.24
BGR,2019,1.95
BGR,2020,2.06
BGR,2021,1.94
BGR,2022,1.58
BGR,2023,1.82
BGR,2024,1.81
BHR,2015,8.93
BHR,2016,4.62
BHR,2017,4.03
