iso3c,year,value
ABW,2015,12.90506172
ABW,2016,12.91706181
ABW,2017,12.92906189
ABW,2018,12.93806171
ABW,2019,12.94106197
ABW,2020,12.94406223
ABW,2021,12.94706154
ABW,2022,12.9500618
ABW,2023,12.95606232
ABW,2024,12.95606232
ABW,2025,12.95606232
AFG,2015,6.505205631
AFG,2016,6.316205978
AFG,2017,6.157206059
AFG,2018,6.013206005
AFG,2019,5.893205643
AFG,2020,5.806206226
AFG,2021,5.728206158
AFG,2022,4.417712688
AFG,2023,4.417712688
AFG,2024,4.417712688
AFG,2025,4.417712688
AGO,2015,9.553467751
AGO,2016,9.54079628
AGO,2017,9.441796303
AGO,2018,9.312796593
AGO,2019,9.147796631
AGO,2020,8.991796494
AGO,2021,8.874796867
AGO,2022,8.811797142
AGO,2023,8.630356789
AGO,2024,8.630356789
AGO,2025,8.630356789
ALB,2015,12.30217743
ALB,2016,12.32624817
ALB,2017,12.37169743
ALB,2018,12.31312847
ALB,2019,12.22912884
ALB,2020,12.10012817
ALB,2021,12.04561615
ALB,2022,12.03613853
ALB,2023,12.00217915
ALB,2024,12.00217915
ALB,2025,12.00217915
AND,2015,11.3481226
AND,2016,11.48234749
AND,2017,11.48447895
AND,2018,11.53607655
AND,2019,11.76403046
AND,2020,11.89084148
AND,2021,11.90904713
AND,2022,12.06769466
AND,2023,12.1061697
AND,2024,12.12067223
AND,2025,12.12067223
ARE,2015,10.64488602
ARE,2016,11.08888626
ARE,2017,11.53888607
ARE,2018,11.90829659
ARE,2019,12.23274231
ARE,2020,12.53806877
ARE,2021,12.68658543
ARE,2022,12.79073429
ARE,2023,12.86615944
ARE,2024,12.86800003
ARE,2025,12.86800003
ARG,2015,12.64368057
ARG,2016,12.68878651
ARG,2017,12.70355415
ARG,2018,12.75615883
ARG,2019,12.76078224
ARG,2020,12.77389431
ARG,2021,12.73439789
ARG,2022,12.7563858
ARG,2023,12.76026821
ARG,2024,12.76026821
ARG,2025,12.76026821
ARM,2015,10.99336338
ARM,2016,10.8941927
ARM,2017,10.93878174
ARM,2018,11.07388592
ARM,2019,11.33947468
ARM,2020,11.66649532
ARM,2021,11.51102352
ARM,2022,11.43533707
ARM,2023,11.50896263
ARM,2024,11.50976467
ARM,2025,11.50976467
ATG,2015,12.5268259
ATG,2016,12.46382618
ATG,2017,12.41282654
ATG,2018,12.4158268
ATG,2019,12.49382591
ATG,2020,12.56282616
ATG,2021,12.60182667
ATG,2022,12.62882614
ATG,2023,12.65582657
ATG,2024,12.65582657
ATG,2025,12.65582657
AUS,2015,12.78017712
AUS,2016,12.82225227
AUS,2017,12.7925148
AUS,2018,12.80490303
AUS,2019,12.79182911
AUS,2020,12.78737354
AUS,2021,12.81952477
AUS,2022,12.87512398
AUS,2023,12.88273144
AUS,2024,12.88273144
AUS,2025,12.88273144
AUT,2015,12.63790226
AUT,2016,12.63395405
AUT,2017,12.64834881
AUT,2018,12.65637016
AUT,2019,12.66209316
AUT,2020,12.67145348
AUT,2021,12.66137695
AUT,2022,12.66551018
AUT,2023,12.67734432
AUT,2024,12.67734432
AUT,2025,12.67734432
AZE,2015,11.52909088
AZE,2016,11.49336529
AZE,2017,11.83591175
AZE,2018,11.87818909
AZE,2019,11.88990593
AZE,2020,11.97582722
AZE,2021,12.01582813
AZE,2022,12.02671623
AZE,2023,12.02583599
AZE,2024,11.90493774
AZE,2025,11.90493774
BDI,2015,8.650382042
BDI,2016,8.564949989
BDI,2017,8.683178902
BDI,2018,8.504827499
BDI,2019,8.354516983
BDI,2020,7.957538605
BDI,2021,8.119538307
BDI,2022,8.032538414
BDI,2023,7.97853899
BDI,2024,7.97853899
BDI,2025,7.97853899
BEL,2015,12.82040215
BEL,2016,12.8204937
BEL,2017,12.81880951
BEL,2018,12.82481194
BEL,2019,12.8243742
BEL,2020,12.8319416
BEL,2021,12.8315506
BEL,2022,12.83643723
BEL,2023,12.84211254
BEL,2024,12.84211254
BEL,2025,12.84211254
BEN,2015,8.867492676
BEN,2016,8.777492523
BEN,2017,8.722702026
BEN,2018,8.629702568
BEN,2019,8.593268394
BEN,2020,8.473268509
BEN,2021,8.312242508
BEN,2022,8.306242943
BEN,2023,8.336242676
BEN,2024,8.336242676
BEN,2025,8.336242676
BFA,2015,6.65093708
BFA,2016,6.8438797
BFA,2017,6.97955513
BFA,2018,6.995870113
BFA,2019,6.978150845
BFA,2020,6.91008997
BFA,2021,6.796999454
BFA,2022,6.661923885
BFA,2023,6.536731243
BFA,2024,6.511320591
BFA,2025,6.511320591
BGD,2015,9.188793182
BGD,2016,9.353794098
BGD,2017,9.521793365
BGD,2018,9.677793503
BGD,2019,9.812792778
BGD,2020,9.923793793
BGD,2021,10.04979324
BGD,2022,10.20279312
BGD,2023,10.95748043
BGD,2024,10.89502144
BGD,2025,10.89502144
BGR,2015,12.39996529
BGR,2016,12.42825794
BGR,2017,12.39490414
BGR,2018,12.34643555
BGR,2019,12.33788967
BGR,2020,12.30776787
BGR,2021,12.23868084
BGR,2022,12.18584633
BGR,2023,12.1559248
BGR,2024,12.1559248
BGR,2025,12.1559248
BHR,2015,12.42508221
BHR,2016,12.50082588
BHR,2017,12.47094154
BHR,2018,12.43100166
BHR,2019,12.45447159
BHR,2020,12.45447159
BHR,2021,12.43647194
BHR,2022,12.37647152
BHR,2023,12.31366825
BHR,2024,12.26390171
BHR,2025,12.26390171
BHS,2015,10.75179291
BHS,2016,10.69351482
BHS,2017,10.59679222
BHS,2018,10.31033802
BHS,2019,10.11121655
BHS,2020,9.87121582
BHS,2021,9.53423214
BHS,2022,9.390231133
BHS,2023,9.373400688
BHS,2024,9.460474968
BHS,2025,9.460474968
BIH,2015,10.98309708
BIH,2016,10.98748493
BIH,2017,11.10357666
BIH,2018,11.23762035
BIH,2019,11.37687683
BIH,2020,11.38353348
BIH,2021,11.32885456
BIH,2022,11.35377789
BIH,2023,11.40595055
BIH,2024,11.40595055
BIH,2025,11.40595055
BLR,2015,12.80949593
BLR,2016,12.79400539
BLR,2017,12.74868393
BLR,2018,12.67333031
BLR,2019,12.63629341
BLR,2020,12.61495781
BLR,2021,12.58884811
BLR,2022,12.56089211
BLR,2023,12.5404377
BLR,2024,12.53516483
BLR,2025,12.53516483
BLZ,2015,11.39330959
BLZ,2016,11.45738792
BLZ,2017,11.4468832
BLZ,2018,11.43716049
BLZ,2019,11.43262863
BLZ,2020,11.48842525
BLZ,2021,11.03192997
BLZ,2022,10.99222755
BLZ,2023,10.96846581
BLZ,2024,11.20223045
BLZ,2025,11.20223045
BOL,2015,11.52399445
BOL,2016,11.55463028
BOL,2017,11.52888203
BOL,2018,11.50997353
BOL,2019,11.52988625
BOL,2020,11.58940315
BOL,2021,11.64573097
