iso3c,reach_target_year,speed,end_year,end_value,start_value,start_year,typical_end_value
ABW,,,2024,0.2062174586,,,
AFG,,,2023,0.4182956789,,,
AGO,,,2024,0.2455111485,,,
ALB,,,2024,0.1421791501,,,
AND,,,2024,0.1007028162,,,
ARE,,-1.428571429,2022,0.5,0.4,2015,
ARG,,,2024,0.3114332786,,,
ARM,,,2024,0.1626163482,,,
ATG,,,2024,0.2668615453,,,
AUS,,1.428571429,2022,0.4,0.5,2015,0.43
AUT,,,2024,0.1204883189,,,
AZE,,,2024,0.255533115,,,
BDI,,0,2022,0.5,0.5,2015,0.43
BEL,,,2024,0.1546479138,,,
BEN,,0,2022,0.4,0.4,2015,
BFA,,1.428571429,2022,0.7,0.8,2015,0.73
BGD,,,2024,0.1704021095,,,
BGR,,,2024,0.2110187321,,,
BHR,,2.857142857,2022,0.6,0.8,2015,0.73
BHS,,,2024,0.1877047074,,,
BIH,,0,2022,0.5,0.5,2015,0.43
BLR,,0,2022,0.4,0.4,2015,
BLZ,,,2024,0.2792534115,,,
BOL,,0,2022,0.4,0.4,2015,
BRA,,,2024,0.3072289944,,,
BRB,,,2024,0.2496580664,,,
BRN,,,2024,0.3799044066,,,
BTN,,,2023,0.2471861351,,,
BWA,,0,2022,0.4,0.4,2015,
CAF,,0.6789638932,2022,4,4.6,2015,3.757092907
CAN,,,2024,0.3429965511,,,
CHE,,,2024,0.05829825729,,,
CHL,,,2024,0.1961258028,,,
CHN,,1.428571429,2022,0.5,0.6,2015,0.53
CIV,,,2024,0.1550161205,,,
CMR,,,2024,0.2967887174,,,
COD,,0,2022,0.5,0.5,2015,0.43
COG,,-2.857142857,2022,0.7,0.5,2015,0.43
COL,,,2024,0.2425314929,,,
COM,,,2024,0.2730228669,,,
CPV,,,2024,0.2069837165,,,
CRI,,,2024,0.1286393928,,,
CYP,,,2024,0.1440683956,,,
CZE,,,2024,0.187208591,,,
DEU,,,2024,0.1266749489,,,
DJI,,,2024,0.2490525339,,,
DMA,,,2024,0.1942546415,,,
DNK,,,2024,0.09040357488,,,
DOM,,,2024,0.1599922318,,,
DZA,,0,2022,0.4,0.4,2015,
ECU,,,2024,0.3023016915,,,
EGY,,,2024,0.1966666462,,,
ESP,,,2024,0.1322273868,,,
EST,,,2024,0.2926458244,,,
